oid,main_id,st_ids,ra,dec,ra_err,dec_err,coo_err_angle,coo_qual,coo_reflink,sy_pmra,sy_pmdec,sy_pmraerr1,sy_pmraerr2,sy_pmdecerr2,sy_pmdecerr1,sy_pm_err_angle,sy_pm_qual,sy_pm_reflink,sy_plxerr2,sy_plx,sy_plxerr1,sy_plx_qual,radverr2,sy_plx_reflink,st_radv,radverr1,st_radv_bibcode,st_otype,st_otypes,spectype,spectype_reflink,sy_ujmag,sy_bmag,sy_vmag,G,sy_rcmag,sy_icmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_gaiamagerr2,sy_jmagerr2,sy_hmagerr2,sy_kmagerr2,sy_bmagerr2,sy_vmagerr2,sy_ujmagerr2,sy_rcmagerr2,sy_icmagerr2,sy_rmag,sy_imag,sy_zmag,sy_gaiamagerr1,sy_jmagerr1,sy_hmagerr1,sy_kmagerr1,sy_bmagerr1,sy_vmagerr1,sy_ujmagerr1,sy_rcmagerr1,sy_icmagerr1,st_psfgrade,hd_id,hip_id,sy_plxh2err2,hr_id,sy_plxg3err2,wds_id,tic_id,sbc9_id,gaiadr3_id,gaiadr2_id,sy_ruwe2015.5,sy_dvtk19,sy_dvtk19err,sy_dvtpak19,sy_dvtpak19err,sy_plxh2,sy_plxh2err1,sy_plxg3,sy_plxg3err1,sy_snrpmahg1,sy_binhg1,sy_pmrah2g2,sy_pmrah2g2err,sy_pmdeh2g2,sy_pmdeh2g2err,sy_pmarah2g2,sy_pmarah2g2err,sy_pmadeh2g2,sy_pmadeh2g2err,sy_snrpmah2g2,sy_binh2g2,sy_pmrah2eg3a,sy_pmrah2eg3aerr,sy_pmdeh2eg3a,sy_pmarah2eg3a,sy_pmarah2eg3aerr,sy_pmadeh2eg3a,sy_pmadeh2eg3aerr,sy_snrpmah2eg3a,sy_binh2eg3a,sy_pmrah2eg3b,sy_pmrah2eg3berr,sy_pmdeh2eg3b,sy_pmdeh2eg3berr,st_ldderr2,sy_pmarah2eg3b,sy_pmarah2eg3berr,sy_pmadeh2eg3b,sy_pmadeh2eg3berr,sy_snrpmaH2eg3b,sy_binh2eg3b,sy_dvtk22,sy_dvtk22err,sy_dvtpak22,sy_dvtpak22err,st_uddmeaserr2,st_k22m1,st_k22M1err,st_lddmeaserr2,st_k22m1_reflink,st_ldd,st_ldderr1,ra2016err2,st_lddchi,dec2016err2,st_uddb,pmra2016err2,st_uddv,pmdec2016err2,st_uddr,sy_plx2016err2,st_uddi,st_radv2016err2,st_uddj,st_uddh,st_uddk,ra2015.5err2,st_uddmeas,dec2015.5err2,st_lddmeas,pmra2015.5err2,st_uddmeaserr1,pmdec2015.5err2,st_uddmeasband,sy_plx2015.5err2,st_uddmeasreflink,st_radv2015.5err2,st_lddmeaserr1,st_lddmeasband,st_gprpolfracerr2,st_lddmeasreflink,st_gprpolpaerr2,ra2016,ra2016err1,dec2016,st_rpolfracerr2,dec2016err1,st_rpolpaerr2,pmra2016,pmra2016err1,st_upolfracerr2,pmdec2016,st_upolpaerr2,pmdec2016err1,sy_plx2016,st_bpolfracerr2,sy_plx2016err1,st_bpolpaerr2,st_radv2016,st_radv2016err1,st_vpolfracerr2,sy_gaiadr3mag,st_vpolpaerr2,sy_ruwe2016,ra2015.5,st_unkpolfracerr2,ra2015.5err1,st_unkpolpaerr2,dec2015.5,dec2015.5err1,pmra2015.5,pmra2015.5err1,pmdec2015.5,pmdec2015.5err1,sy_plx2015.5,sy_plx2015.5err1,st_radv2015.5,st_radv2015.5err1,sy_gaiamag,st_gprpolfrac,st_gprpolfracerr1,st_gprpolpa,st_gprpolpaerr1,st_gprpolfrac_reflink,st_polcatalog,st_rpolfrac,st_rpolfracerr1,st_rpolpa,st_rpolpaerr1,st_rpolfrac_reflink,st_upolfrac,st_upolfracerr1,st_upolpa,st_upolpaerr1,st_upolfrac_reflink,st_bpolfrac,st_bpolfracerr1,st_bpolpa,st_bpolpaerr1,st_bpolfrac_reflink,st_vpolfrac,st_vpolfracerr1,st_vpolpa,st_vpolpaerr1,st_vpolfrac_reflink,st_unkpolfrac,st_unkpolfracerr1,st_unkpolpa,st_unkpolpaerr1,st_unkpolfrac_reflink,sy_caltype,sy_excampass
1863953,* bet Leo,CNS5 2899|GJ 448.0|GJ 448|HIP 57632|TIC 14725877|PLX 2738|LSPM J1149+1434|ASCC  952815|2MASS J11490366+1434197|USNO-B1.0 1045-00205720|* bet Leo|*  94 Leo|ADS  8314 A|AG+14 1239|BD+15  2383|CCDM J11490+1433A|CSI+15  2383  1|CSV 101225|Ci 20  663|FK5  444|GC 16189|GCRV  7151|GEN# +1.00102647|HD 102647|HGAM    606|HIC  57632|HR  4534|IDS 11440+1508 A|IRAS 11464+1451|IRC +10247|JP11  2102|LFT  853|LHS  2462|LTT 13249|N30 2755|NAME Denebola|NLTT 28642|NSV  5349|PM 11465+1451|PMC 90-93   319|PPM 128576|ROT  1752|SAO  99809|SKY# 22318|SV* ZI   900|TD1 15885|UBV   10637|UBV M  17408|V* bet Leo|[HFE83]  827|PLX 2738.00|WDS J11491+1434A|TYC  870-988-1|uvby98 100102647|WEB 10349,177.2649098,14.57205806,7.6316285,3.8624604,90,A,2007A&A...474..653V,-497.68,-114.67,0.87,0.87,0.44,0.44,0,A,2007A&A...474..653V,0.52,90.91,0.52,A,0.5,2007A&A...474..653V,-0.2,0.5,2006AstL...32..759G,dS*,*|**|IR|NIR|PM*|UV|V*|dS*,A3Va,2009ApJ...694.1085V,2.299999952,2.220000029,2.130000114,,2.079999924,2.059999943,1.850000024,1.924999952,1.899999976,,,,0.27,0.194,0.05,,0.05,,,,,,,,0.27,0.194,0.05,,0.05,,,,A,102647,57632,,4534,,J11491+1434A,14725877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137192,,,,,,,,,,,0.013,,,0.087,,1.470707,0.137192,,0.0621444,,1.388745,,1.400175,,1.417391,,1.429884,,1.442277,1.449261,1.452208,,1.323,,1.339,,0.013,,K',,2009ApJ...691.1896A,,0.087,13-Aug,,2014ApJ...797..119M,,,,,0.00011,,13.9,,,0.00039,,98,,,0.00055,,2.9,,,0.001,,10,,,,,,,,,,,,,,,,,,,,,,2023ApJS..264...42W,0.00023,0.00011,35.3,13.9,2010MNRAS.405.2570B,0.0121,0.00039,15.05,98,2023ApJS..264...42W,0.00531,0.00055,132.5,2.9,2023ApJS..264...42W,0.0029,0.001,12,10,2023ApJS..264...42W,,,,,,RefStar,TRUE
566010,* eta UMa,WISE J134732.18+491849.4|HIP 67301|Gaia DR3 1510374147844219904|TIC 219033887|PLX 3147|* eta UMa|*  85 UMa|AG+49 1116|BD+50  2027|CEL   4281|CSV 101406|FK5  509|GC 18643|GCRV  8142|GEN# +1.00120315|GSC 03467-01257|HD 120315|HGAM    626|HIC  67301|HR  5191|IRAS 13455+4933|IRC +50233|JP11  2433|N30 3141|NSV  6450|PMC 90-93   362|PPM  53742|RAFGL 4916S|ROT  1999|SAO  44752|SKY# 25304|SV* ZI  1023|TD1 17067|TYC 3467-1257-1|UBV   12316|UBV M  19728|[HFE83]  974|uvby98 100120315|2MASS J13473244+4918477|PLX 3147.00|EUVE J1347+49.2|NAME Alkaid|NAME Alcaid|WEB 11841,206.8851573,49.31326673,1.4995854,1.3199456,89,A,2007A&A...474..653V,-121.17,-14.91,0.15,0.15,0.17,0.17,0,A,2007A&A...474..653V,0.24,31.38,0.24,A,0.6,2007A&A...474..653V,-13.4,0.6,2006AstL...32..759G,PM*,*|IR|MIR|NIR|PM*|UV|V*,B3V,1973ARA&A..11...29M,0.99000001,1.669999957,1.860000014,1.88101995,1.980000019,2.160000086,2.227999926,2.407999992,2.265000105,,,0.005632,0.294,0.194,0.346,,,,,,,,,0.005632,0.294,0.194,0.346,,,,,,B,120315,67301,0.24,5191,,,219033887,,Gaia DR3 1510374147844219904,,,,,,,31.38,0.24,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.091078,,,,,,,,,,,0.06,,,0.06,,0.772365,0.091078,0.8476664,0.044221,2.3706222,0.748321,,0.751861,,0.756164,,0.759499,,0.763291,0.76526,0.766464,,0.818,,0.834,,0.06,,H,,2019ApJ...873...91G,,0.06,H,,2019ApJ...873...91G,,206.8843267,0.8476664,49.31320181,0.00017,2.3706222,6.1,,,,,,,,0.00054,,2.5,,,,1.881019,,,,,,,,,,,,,,,,,,,,,,,2023ApJS..264...42W,0.00097,0.00017,172.7,6.1,2010MNRAS.405.2570B,,,,,,0.00618,0.00054,169.9,2.5,2023ApJS..264...42W,,,,,,,,,,,RefStar,TRUE
784400,* gam Ori,WISE J052507.87+062058.2|HIP 25336|TIC 365572007|PLX 1229|* gam Ori|*  24 Ori|AG+06  574|BD+06   919|CCDM J05252+0620A|CSI+06   919  1|CSV 100483|FK5  201|GC  6668|GCRV  3252|GEN# +1.00035438|GEN# +1.00035468|HD  35468|HGAM    397|HIC  25336|HR  1790|IDS 05198+0615 A|IRC +10084|JP11  1071|MCW  308|N30 1162|NAME Bellatrix|NSV  1972|PMC 90-93   144|PPM 148916|ROT   793|SAO 112740|SKY#  8617|SV* ZI   374|TD1  4558|UBV    5149|UBV M  10933|[HFE83]  375|[SC93b] 179|uvby98 100035468|ALS 14777|PLX 1229.00|1RXS J052507.7+062103|EUVE J0525+06.3|2MASS J05250786+0620589|WDS J05251+0621A|TYC  113-1856-1|IRAS 05224+0618|AKARI-IRC-V1 J0525078+062058|WEB  4913,81.28276356,6.349703264,4.4082,3.0726871,90,A,2007A&A...474..653V,-8.11,-12.88,0.5,0.5,0.35,0.35,0,A,2007A&A...474..653V,0.52,12.92,0.52,A,0.45,2007A&A...474..653V,17.31,0.45,2023ApJS..266...11B,V*,*|**|IR|MIR|NIR|UV|V*|X,B2III,2024A&A...690A.176N,0.540000021,1.419999957,1.639999986,,1.730000019,1.950000048,2.148999929,2.357000113,2.375,,,,0.282,0.168,0.256,,,,,,,,,,0.282,0.168,0.256,,,,,,B,35468,25336,,1790,,J05251+0621A,365572007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.070273,,,,,,,,,,,0.005,,,0.007,,0.707386,0.070273,,0.00318881,,0.686141,,0.68911,,0.692846,,0.695725,,0.699135,0.700856,0.701908,,0.701,,0.785,,0.005,,740nm,,2014A&A...570A.104C,,0.007,R,,2021A&A...652A..26S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
92338,* alf Cyg,TIC 195554360|PLX 4935|* alf Cyg|*  50 Cyg|ADS 14172 A|AG+45 1730|ALS 11488|BD+44  3541|CCDM J20415+4517A|CEL   5144|CSI+44  3541  1|EM* MWC  351|FK5  777|GC 28846|GCRV 12971|GEN# +1.00197345|GSC 03574-03347|HD 197345|HIC 102098|HIP 102098|HR  7924|IDS 20380+4455 A|IRC +50337|JP11  3264|LS III +45   15|MCW  940|N30 4579|PMC 90-93   546|PPM  60323|RAFGL 2633|ROT  3019|SAO  49941|SKY# 39204|SV* ZI  1938|TD1 27159|TYC 3574-3347-1|UBV   17953|UBV M  25099|V* alf Cyg|[HFE83] 1387|[KW97] 48-33|2MASS J20412592+4516491|PLX 4935.00|WDS J20414+4517A|NAME Deneb|uvby98 100197345|WEB 18466,310.3579798,45.28033881,2.9891012,2.3756907,90,A,2007A&A...474..653V,2.01,1.85,0.34,0.34,0.27,0.27,0,A,2007A&A...474..653V,0.32,2.31,0.32,A,0.3,2007A&A...474..653V,-4.9,0.3,2006AstL...32..759G,sg*,*|**|Em*|IR|NIR|Pu*|UV|V*|sg*,A2Ia,2024A&A...690A.176N,1.110000014,1.340000033,1.25,,1.139999986,1.039999962,0.949999988,0.870000005,0.879999995,,,,,,,,,,,,,,,,,,,,,,,,B,197345,102098,,7924,,J20414+4517A,195554360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187696,,,,,,,,,,,0.011,,,0.011,,2.155465,0.187696,,0.107399,,2.041944,,2.057894,,2.081885,,2.099482,,2.116434,2.12602,2.130064,,2.285,,1.017,,0.011,,"H,K",,2009MNRAS.394.1925V,,0.011,"H,K",,2009MNRAS.394.1925V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
3488477,* bet Lup,HIP 73273|Gaia DR3 5908509891197204480|TIC 333947284|* bet Lup|CD-42  9853|CEL   4329|CPC  0 12813|CPD-42  6856|FK5  552|GC 20128|GCRV  8677|GEN# +1.00132058|GSC 07832-02490|HD 132058|HIC  73273|HR  5571|IRAS 14552-4256|JP11  2556|N30 3380|PPM 320091|ROT  2130|SAO 225335|SKY# 27188|TD1 17837|TYC 7832-2490-1|UBV   12994|UBV M  20464|[B10]  3815|[CS62] E6  93|uvby98 100132058|2MASS J14583192-4308020|ALS 15004|WEB 12553,224.6330223,-43.13396385,1.4923325,1.1410549,90,A,2007A&A...474..653V,-35.78,-39.83,0.17,0.17,0.13,0.13,0,A,2007A&A...474..653V,0.18,8.52,0.18,A,0.9,2007A&A...474..653V,0.2,0.9,1979IAUS...30...57E,PM*,*|IR|NIR|PM*|UV|V*,B2III,,1.590000033,2.460000038,2.680000067,2.695260048,2.779999971,2.950000048,3.160000086,3.25,3.319999933,,,0.006642,,,,,,,,,,,,0.006642,,,,,,,,,B,132058,73273,0.18,5571,,,333947284,,Gaia DR3 5908509891197204480,,,,,,,8.52,0.18,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.046022,,,,,,,,,,,,,,,,0.477847,0.046022,0.3902478,0.0627924,0.5054194,0.463495,,0.465501,,0.468024,,0.469969,,0.472272,0.473435,0.474146,,,,,,,,,,,,,,,,,224.6328044,0.3902478,-43.13413617,,0.5054194,,,,,,,,,,,,,,,2.6952581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
2579741,* zet Oph,WISE J163709.59-103400.7|HIP 81377|Gaia DR3 4337352305320149760|TIC 152859121|PLX 3775|* zet Oph|*  13 Oph|1AXG J163709-1033|2E  3732|AAVSO 1631-10|BD-10  4350|CGO 384|FK5  622|GC 22332|GCRV  9547|GEN# +1.00149757|GOS G006.28+23.59 01|GSC 05632-01042|GUM 73|HD 149757|HIC  81377|HR  6175|IRC -10343|JP11  2780|MCW  562|N30 3717|PMC 90-93   444|PPM 231915|RAFGL 5060S|ROT  2364|SACS 361|SAO 160006|SKY# 29938|TD1 19349|TYC 5632-1042-1|UBV M  21552|UBV   14047|V* zet Oph|[B10]  4225|[HFE83] 1188|[HJ56] 112|2MASS J16370954-1034014|ALS 14820|PLX 3775.00|1E 1634.4-1028|1ES 1634-10.4|1RXS J163709.4-103406|2E 1634.4-1028|EUVE J1637-10.5|AKARI-IRC-V1 J1637095-103401|IRAS 16343-1028|uvby98 100149757|WEB 13754|Gaia DR2 4337352305315545088|[KCS2016] J163709.54-103401.5,249.2897502,-10.56708604,0.5085,0.2197,90,A,2020yCat.1350....0G,10.465,24.742,0.653,0.653,0.605,0.605,90,A,2020yCat.1350....0G,0.6596,7.4088,0.6596,A,5.5,2020yCat.1350....0G,-9,5.5,2007AN....328..889K,Be*,*|Be*|HII|IR|MIR|NIR|UV|V*|X,O9.2IVnn,2014ApJS..211...10S,1.730000019,2.579999924,2.559999943,2.556600094,2.460000038,2.5,2.589999914,2.589999914,2.619999886,,,0.006245,,,,,,,,,,,,0.006245,,,,,,,,,C,149757,81377,,6175,,,152859121,,Gaia DR3 4337352305320149760,Gaia DR2 4337352305315545088,2.532,15325.81,1815.76,51.54,4.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,0.508539,,0.21972634,,0.6532903,,0.6045217,,0.659556,,,,,,0.857405449,0.532,0.539501209,0.54,1.682949664,0.01,1.216328791,800nm,1.022620764,2018ApJ...869...37G,,0.01,800nm,,2018ApJ...869...37G,,249.2897976,0.508539,-10.56697608,,0.21972634,,10.46496683,0.6532903,0.023,24.74156756,0.53,0.6045217,7.408845728,0.022,0.659556,0.56,,,0.069,2.5565956,0.28,4.4893146,249.2897963,0.023,0.857405449,0.5,-10.56698083,0.539501209,27.66134205,1.682949664,37.19505224,1.216328791,5.82872442,1.022620764,,,2.4631598,,,,,,2023ApJS..264...42W,,,,,,1.3321,0.023,126.355,0.53,2023ApJS..264...42W,1.1962,0.022,126.617,0.56,2023ApJS..264...42W,1.32422,0.069,124.924,0.28,2023ApJS..264...42W,1.295,0.023,-53.9,0.5,1979A&A....74..201M,RefStar,TRUE
816204,* alf Lep,HIP 25985|TIC 46312112|2MASS J05324381-1749198|PLX 1265|*  11 Lep|* alf Lep|ADS  4146 A|BD-17  1166|CCDM J05327-1750A|CSI-17  1166  1|FK5  207|GC  6875|GCRV  3373|GEN# +1.00036673|GSC 05920-01685|HD  36673|HD  36673A|HIC  25985|HR  1865|IRAS 05305-1751|IRC -20073|JP11  1156|N30 1189|NSV  2128|PMC 90-93   150|PPM 215925|RAFGL  771|ROT   853|SACS 123|SAO 150547|SKY#  8903|TD1  4854|TYC 5920-1685-1|UBV    5395|UBV M  11148|uvby98 100036673|PLX 1265.00|WDS J05327-1749A|NAME Arneb|WEB  5055|Gaia DR2 2971266110610441856,83.18256716,-17.82228927,0.08,0.08,90,A,2007A&A...474..653V,3.56,1.18,0.12,0.12,0.11,0.11,90,A,2007A&A...474..653V,0.14,1.47,0.14,A,0.1,2007A&A...474..653V,25.1,0.1,2006AstL...32..759G,V*,*|**|IR|NIR|UV|V*,F0Ib,2001AJ....121.2148G,3.019999981,2.769999981,2.569999933,2.389499903,2.349999905,2.140000105,2.039999962,1.919999957,1.860000014,,,0.0032,,,,,,,,,,,,0.0032,,,,,,,,,B,36673,25985,0.14,1865,0.321,J05327-1749A,46312112,,,Gaia DR2 2971266110610441856,2.233,5580.08,2122.87,141.03,15,1.47,0.14,1.705,0.321,,,3.7,0.037,1.427,0.032,3.496,1.54,-4.322,1.449,2.63,0,3.707,0.009,0.008,-0.147,0.12,-0.258,0.11,1.82,0,3.707,0.009,1.438,0.008,0.18604,-0.343,0.323,0.032,0.34,0.74,0,959.07,1304.26,275.3,42.93,0.09,17.44,3.49,0.09,Pow,1.694165,0.18604,,0.0075554,,1.585,,1.606055,,1.622237,,1.639355,,1.662565,1.662565,1.66697,0.823092224,1.7,0.706136944,1.77,1.424583198,0.09,1.341213527,740nm,0.967823903,1999AJ....118.3032N,,0.09,740nm,,1999AJ....118.3032N,,,,,,,,,,,,,,,,,,,,,,,,83.18258425,0.001,0.823092224,0.1,-17.82228253,0.706136944,7.122853436,1.424583198,-2.967071825,1.341213527,4.693236302,0.967823903,,,2.3894522,,,,,,2000AJ....119..923H,,,,,,,,,,,,,,,,,,,,,0.32,0.001,68.3,0.1,1970MmRAS..74..139M,RefStar,TRUE
1785786,* del Leo,CNS5 2742|GJ 419|HIP 54872|Gaia DR3 3990320597065899776|TIC 159523958|PLX 2614|LSPM J1114+2031|ASCC  776748|USNO-B1.0 1105-00197091|* del Leo|*  68 Leo|AG+20 1243|BD+21  2298|BDS  5709 A|CCDM J11141+2032A|CSI+21  2298  1|CSV 101190|FK5  422|GC 15438|GCRV  6892|GEN# +1.00097603|HD  97603|HGAM    602|HIC  54872|HR  4357|IDS 11088+2104 A|IRC +20226|JP11  2038|LTT 13027|N30 2637|NLTT 26691|NSV  5143|PMC 90-93   304|PPM 100996|ROT  1671|SAO  81727|SKY# 21407|SRS  30422|SV* ZI   877|TD1 15474|UBV   10242|UBV M  16901|YPAC  46|uvby98 100097603|2MASS J11140651+2031258|PLX 2614.00|WDS J11141+2031A|TYC 1439-2479-1|NAME Zosma|WEB  9902,168.5270893,20.52371814,2.6359487,1.8436122,90,A,2007A&A...474..653V,143.42,-129.88,0.3,0.3,0.21,0.21,0,A,2007A&A...474..653V,0.25,55.82,0.25,A,0.6,2007A&A...474..653V,-20.9,0.6,2006AstL...32..759G,PM*,*|**|IR|NIR|PM*|UV|V*,A5IV(n),2003AJ....126.2048G,2.789999962,2.680000067,2.529999971,2.571630001,2.440000057,2.410000086,2.329999924,2.279999971,2.24000001,,,0.004636,,,0.06,,0.05,,,,,,,0.004636,,,0.06,,0.05,,,,B,97603,54872,0.25,4357,,J11141+2031A,159523958,,Gaia DR3 3990320597065899776,,,,,,,55.82,0.25,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.1182,,,,,,,,,,,0.008,,,0.008,,1.341799,0.1182,0.24328965,0.00806868,0.3342708,1.26338,,1.273789,,1.289644,,1.301374,,1.313607,1.320454,1.323467,,1.304,,1.328,,0.008,,K,,2012ApJ...746..101B,,0.008,K,,2012ApJ...746..101B,,168.5277725,0.24328965,20.52313704,0.0003,0.3342708,22.7,,,,,,,,,,,,,,2.5716317,,,,,,,,,,,,,,,,,,,,,,,2025ApJS..276...15P,0.0004,0.0003,-21.4,22.7,2017MNRAS.467..873C,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
534420,* bet UMa,CNS5 2693|GJ 9343|HIP 53910|Gaia DR3 856096765753549056|TIC 141120277|PLX 2567|*  48 UMa|* bet UMa|AAVSO 1055+56|AG+56  832|BD+57  1302|CEL   3775|CSV 101172|FK5  416|GC 15145|GCRV  6809|GEN# +1.00095418|GSC 03827-01079|HD  95418|HGAM    601|HIC  53910|HR  4295|IRAS 10588+5639|IRC +60206|JP11  2018|N30 2593|NAME Merak|NSV  5053|PMC 90-93   298|PPM  32912|ROT  1646|SAO  27876|SKY# 21076|SV* ZI   863|TD1 15303|TYC 3827-1079-1|UBV   10075|UBV M  16711|[HFE83]  770|uvby98 100095418|2MASS J11015046+5622566|PLX 2567.00|Renson 27493|WEB  9758|Gaia DR2 856096765752993280,165.4603323,56.38243365,0.5128,0.5072,90,A,2020yCat.1350....0G,79.959,32.365,0.621,0.621,0.793,0.793,90,A,2020yCat.1350....0G,1.1285,38.6031,1.1285,A,0.1,2020yCat.1350....0G,-13.1,0.1,2006AstL...32..759G,PM*,*|IR|NIR|PM*|UV|V*,A1IVps,2010MNRAS.403.1089P,2.349999905,2.349999905,2.369999886,2.39854002,2.309999943,2.349999905,2.349999905,2.358999968,2.349999905,,,0.004455,,0.164,,,,,,,,,,0.004455,,0.164,,,,,,,B,95418,53910,0.16,4295,1.294,,141120277,,Gaia DR3 856096765753549056,Gaia DR2 856096765752993280,2.312,1334.1,320.83,230.52,10.04,40.9,0.16,38.632,1.294,,,81.577,0.023,33.863,0.023,-7.347,1.567,-6.053,1.669,4.16,1,81.556,0.018,0.021,-0.126,0.101,-0.373,0.092,2.88,0,81.559,0.015,33.862,0.019,0.095415,-1.601,0.621,-1.535,0.793,2.2,0,272.13,123.63,226.22,18.48,0.014,3.22,0.16,0.065,G00,1.135749,0.095415,0.51276153,0.0421619,0.5072297,1.079264,0.6212048,1.087346,0.7928298,1.098883,1.12847,1.107545,,1.116091,1.120892,1.123019,0.660274496,1.133,0.685650672,1.078,1.450232294,0.014,1.545011964,K,1.109770549,2012ApJ...746..101B,,0.065,13-Aug,,2014ApJ...797..119M,,165.4609742,0.51276153,56.38257749,0.0001,0.5072297,4.2,79.95861267,0.6212048,0.003,32.36454094,14,0.7928298,38.60307998,0.002,1.12847,8.7,,,0.00088,2.3985364,20,5.990816,165.4609539,,0.660274496,,56.3825728,0.685650672,74.16407773,1.450232294,27.67780165,1.545011964,33.79756975,1.109770549,,,2.260534,,,,,,2023ApJS..264...42W,0.00096,0.0001,-29.3,4.2,2010MNRAS.405.2570B,0.0067,0.003,1,14,2023ApJS..264...42W,0.0065,0.002,162.6,8.7,2023ApJS..264...42W,0.00124,0.00088,107,20,2023ApJS..264...42W,,,,,,RefStar,TRUE
980703,* eta CMa,HIP 35904|Gaia DR3 5605797194566011520|TIC 107415639|* eta CMa|*  31 CMa|CCDM J07240-2918A|CD-29  4328|CEL   1826|CPD-29  1680|FK5  283|GC  9886|GCRV  4922|GEN# +5.11210034|GSC 06550-04525|Glazar Pup   9|HD  58350|HIC  35904|HR  2827|IDS 07201-2907 A|IRC -30091|JP11  4549|MCW  530|N30 1652|PMC 90-93   204|PPM 252311|ROT  1197|SAO 173651|SKY# 13479|SRS  30283|UBV    7173|UBV M  40655|V* eta CMa|uvby98 511210034|Cl Collinder  121    34|ALS 14888|WDS J07241-2918A|TYC 6550-4525-1|AKARI-IRC-V1 J0724057-291811|IRAS 07221-2912|2MASS J07240570-2918113|NAME Aludra|WEB  7150,111.0237595,-29.30310551,3.691629,2.5488243,90,A,2007A&A...474..653V,-4.14,5.81,0.29,0.29,0.42,0.42,0,A,2007A&A...474..653V,0.4,1.64,0.4,A,2,2007A&A...474..653V,41.1,2,1979IAUS...30...57E,s*b,*|**|IR|NIR|Pu*|UV|V*|s*b,B5Ia,2024A&A...690A.176N,1.649999976,2.369999886,2.450000048,2.450409889,2.380000114,2.440000057,2.569999933,2.559999943,2.609999895,,,0.0075,,,,,,,,,,,,0.0075,,,,,,,,,B,58350,35904,0.4,2827,,J07241-2918A,107415639,,Gaia DR3 5605797194566011520,,,,,,,1.64,0.4,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,0.077849,,,,,,,,,,,0.06,,,0.06,,0.844257,0.077849,0.47821304,0.00153622,0.47624043,0.815488,,0.819745,,0.825064,,0.829208,,0.833623,0.83607,0.837368,,0.72,,0.75,,0.06,,4430A,,1974MNRAS.167..121H,,0.06,4430A,,1974MNRAS.167..121H,,111.0237382,0.47821304,-29.30308298,,0.47624043,,,,,,,,,,,,,,,2.4504085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RefStar,TRUE
